CourseId,CourseTitle,DurationInSeconds,ReleaseDate,Description,AssessmentStatus,IsCourseRetired
abts-advanced-topics,BizTalk 2006 Business Process Management,22198,2008-10-25,"This course covers Business Process Management features in BizTalk Server 2006, including web services, BAM, hosting, and BTS 2009 features",Live,no
abts-fundamentals,BizTalk 2006 Fundamentals,24305,2008-06-01,"Despite the trend towards service-oriented architectures, most organizations do not have the luxury of moving all of their investments in that direction at once. The fact is most will have to deal with legacy applications for some time to come. And to complicate matters further, typical business processes transcend multiple heterogeneous applications making them difficult to automate. In this course we look at how to use BizTalk Server (BTS) to bridge such integration gaps and simplify business process automation. By combining the connectivity provided by its messaging engine with the productivity provided by its orchestration engine, BizTalk Server can help you tackle tough business process scenarios in your connected systems today.",Live,no
agile-team-practice-fundamentals,Agile Team Practices with Scrum,13504,2010-04-15,"This course is much different than most of the other courses in the Pluralsight library. As a course focused purely on software methodology and team processes, it doesn't contain any coding demos or samples for download. This course is a great way to introduce Agile Software Development practices to your team or organization. In addition to learning Scrum, students learn effective techniques for managing Agile teams and projects. Students and teams come away with a solid foundation to begin executing their first Scrum Sprint.This course covers the following PMBOK® Process Groups: Planning, Executing, Monitoring and Controlling. This course covers the following PMBOK® Knowledge Areas: Project Integration Management, Project Scope Management, Project Time Management, Project Quality Management, Project Human Resource Management, Project Communications Management.",Live,no
appsrv-fundamentals,Windows Server AppFabric Fundamentals,0,2000-01-01,,None,yes
aspdotnet-advanced-topics,ASP.NET 3.5 Advanced Topics,21611,2008-12-05,"This course covers more advanced topics in ASP.NET 3.5 including the HTTP Pipeline, custom controls, and asynchronous pages.",Live,no
aspdotnet-ajax-advanced-topics,ASP.NET Ajax Advanced Topics,10426,2008-09-30,"This course covers advanced topics in ASP.NET Ajax including custom controls, application design, and debugging.",Live,no
aspdotnet-ajax-fundamentals,ASP.NET Ajax Fundamentals,22296,2008-09-11,"ASP.NET Ajax is a Web development framework for building richer, more interactive Web applications. This new Web development framework from Microsoft provides both client-side and server-side components for closing the gap between web and desktop user interfaces. ASP.NET Ajax's browser-neutral client script library is easily integrated with existing Web applications (including ASP.NET 1.* and non-.NET sites), improving response times and enhancing UIs with DHTML and Javascript features that in the past would have taken enormous development efforts and extensive client-side knowledge. ASP.NET 2.0 applications can take advantage of ASP.NET Ajax's server-side features to further enhance their UIs, often through simple markup. This course walks you through the components of ASP.NET Ajax, asks you to build a number of Ajax-enabled applications, and shows how best to leverage the capabilities of Ajax to make your clients' experiences richer.",Live,no
aspdotnet-ajax-jscript,ASP.NET Ajax JavaScript and jQuery,8561,2009-01-21,This course covers the details of working with JavaScript and jQuery in the context of ASP.NET Ajax,Live,no
aspdotnet-data,ASP.NET 3.5 Working With Data,27668,2008-12-04,"ASP.NET has established itself as one of the most productive environments for building web applications and more developers are switching over every day. The 2.0 release of ASP.NET builds on the same componentry of 1.1, improving productivity of developers even further by providing standard implementations of common Web application features like membership, persistent user profile, and Web parts, among others. The 3.5 release adds several new controls including the flexible ListView and the LinqDataSource, as well as integrated suport for ASP.NET Ajax. This course will cover the data access, caching, and state management features of ASP.NET.",Live,no
aspdotnet-fundamentals,ASP.NET 3.5 Fundamentals,25160,2008-11-12,"ASP.NET has established itself as one of the most productive environments for building web applications and more developers are switching over every day. The 2.0 release of ASP.NET builds on the same componentry of 1.1, improving productivity of developers even further by providing standard implementations of common Web application features like membership, persistent user profile, and Web parts, among others. The 3.5 release adds several new controls including the flexible ListView and the LinqDataSource, as well as integrated suport for ASP.NET Ajax. This course will introduce practicing .NET developers to the comprehensive Web development platform that ASP.NET has become. We will cover fundamentals that have been in place since the 1.0 release, as well as all of the newer features found in the 2.0 and 3.5 releases with an emphasis on understanding how each new feature works and when to best apply it.",Live,no
